개체1,액션1,감정1,"URL(공포,놀람,분노,슬픔,중립,행복,혐오)",,,,,,,,
"에비츄,눈물","울,파묻히,묻히",슬픔,https://jjalbang.today/files/jjalbox/2017/12/20171209_5a2ad145ebf54.gif,,,,,,,,
"에비츄,눈물","울,짠하,안타깝",슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b542341b63f.jpg,,,,,,,,
"에비츄,눈물","기어가,귀엽",슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b5426a26694.gif,,,,,,,,
"에비츄,문","서운,섭섭",,https://jjalbang.today/files/jjalbox/2020/10/20201031_5f9d63cc61901.jpeg,,,,,,,,
"에비츄,당황",놀라,놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e24c389e_1599.png,,,,,,,,
"에비츄,투정","열,부리",슬픔,https://jjalbang.today/files/jjalbox/2020/09/20200913_5f5dfec85f7e7.gif,,,,,,,,
"에비츄,먹방,폭식,다이어트",먹,,https://jjalbang.today/files/jjalbox/2020/09/20200921_5f68ccc551abf.gif,,,,,,,,
"에비츄,잠","자,일어나,깨",,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b5428f94d55.gif,,,,,,,,
"에비츄,멘붕",,,https://jjalbang.today/files/jjalbox/2016/09/20160910_57d3b07768682.jpg,,,,,,,,
"팩트,폭행,만화",,,https://bunny.jjalbot.com/2016/10/SywH8aUC/20160905_57cd0affc8458.png,,,,,,,,
"무한도전,무도,유재석",지치,,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c95eebefcb0.gif,,,,,,,,
"무한도전,무도,하하,거짓말,허언",,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c822109151b.jpg,,,,,,,,
"성동일,의문","황당,내가?,왜?",,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c82144a4778.jpg,,,,,,,,
"전현무,융통성,답답",없,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c82059e4fba.jpg,,,,,,,,
"정준하,무도,무한도전","열받,빡,웃지마",분노,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c81fc47e64d.jpg,,,,,,,,
웃음,웃,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c81f8fc0894.gif,,,,,,,,
"레오나르도,디카프리오,레오나르도 디카프리오,한잔",,,https://jjalbang.today/files/jjalbox/2021/12/20211203_61aa87e76f84e.jpg,,,,,,,,
"이경영,진행시켜",,,https://jjalbang.today/files/jjalbox/2021/11/20211123_619d0e55b5baf.jpg,,,,,,,,
"무한도전,무도,하하",못마땅,혐오,https://jjalbang.today/files/jjalbox/2021/10/20211029_617bba57115dc.gif,,,,,,,,
"짱구,짱아,땡깡,분노,화남",빡침,분노,https://bunny.jjalbot.com/2018/12/4yaT0prdK/zzal.jpg,,,,,,,,
"춤,신남,고개",,행복,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed670420e4.gif,,,,,,,,
"노잼,관객,야인시대,지루",,중립,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed0a0e5137.jpg,,,,,,,,
"아다치,비웃음",,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec9ef60131.gif,,,,,,,,
"고구마,모죠,모죠의 일지,웹툰",답답,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec92d5bd03.jpg,,,,,,,,
"모죠,모죠의 일지,웹툰,기절",약오르,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec875d2f37.jpg,,,,,,,,
"귀여워,손가락,만화",,,https://bunny.jjalbot.com/2018/12/qXdIxpDVf/zzal.jpg,,,,,,,,
아이유,"안사요,꺼지",,https://jjalbang.today/files/jjalbox/2021/10/20211011_6163b7d97ba99.gif,,,,,,,,
"혜리,ㅅㅂ,식빵,욕,ㅆㅂ","열받,닥치",분노,https://jjalbang.today/files/jjalbox/2021/10/20211008_615fb7598857a.gif,,,,,,,,
"전재산,거지",돈없어,,https://jjalbang.today/files/jjalbox/2021/10/20211007_615ec6afcb686.jpg,,,,,,,,
,소리치,,https://bunny.jjalbot.com/2018/12/rySVxRNMlE/20170103_586b3c6171561.jpg,,,,,,,,
"김성균,사장님,응답하라",아이고,,https://jjalbang.today/files/jjalbox/2021/10/20211007_615e9e7344204.gif,,,,,,,,
"전광렬,행복,크림빵",,행복,https://jjalbang.today/files/jjalbox/2021/10/20211001_615678e57105e.gif,,,,,,,,
"전광렬,화나","답답,열받",,https://jjalbang.today/files/jjalbox/2021/10/20211001_61567099ebdac.gif,,,,,,,,
"전광렬,분노,화나",죽,분노,https://jjalbang.today/files/jjalbox/2021/10/20211001_615676cd7ee4a.gif,,,,,,,,
"황정민,두통,분노,화나,신세계","답답,열받",,https://jjalbang.today/files/jjalbox/2021/10/20211001_61566ff266649.gif,,,,,,,,
"고독,청승,혼자",,,https://jjalbang.today/files/jjalbox/2021/09/20210925_614f08322792f.gif,,,,,,,,
"주식,병나발,소주병,코인,천호진,비트코인","망하,떡락",,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c9c7b2e2b5.gif,,,,,,,,
"얼굴,무도,무한도전","못생기,놀리",,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c2061ac346.jpg,,,,,,,,
"ㅅㅂ,식빵,욕,ㅆㅂ",꺼지,,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c1971c152c.gif,,,,,,,,
"코난,조준,시계,정조누,명탐정",,,https://jjalbang.today/files/jjalbox/2021/09/20210916_61437757015bd.jpg,,,,,,,,
"귀귀,만화","흐뭇,그윽",,https://jjalbang.today/files/jjalbox/2021/09/20210921_614a0d9f07e35.jpeg,,,,,,,,
"짱구,기쁨","흐뭇,좋,기쁘",행복,https://jjalbang.today/files/jjalbox/2021/09/20210916_6143763f38b04.gif,,,,,,,,
